Year,Type,Frequency
2002,Mass movement (dry),1
2002,Storm,122
2002,Volcanic activity,7
2002,Wildfire,22
2003,Drought,14
2003,Earthquake,40
2003,Epidemic,32
2003,Extreme temperature ,25
2003,Flood,158
2003,Landslide,21
2003,Storm,86
2003,Volcanic activity,2
2003,Wildfire,14
2004,Drought,11
2004,Earthquake,42
2004,Epidemic,43
2004,Extreme temperature ,16
2004,Flood,128
2004,Insect infestation,12
2004,Landslide,15
2004,Mass movement (dry),1
2004,Storm,124
2004,Volcanic activity,5
2004,Wildfire,8
2005,Drought,20
2005,Earthquake,25
2005,Epidemic,56
2005,Extreme temperature ,40
2005,Flood,193
2005,Landslide,13
2005,Storm,130
2005,Volcanic activity,8
2005,Wildfire,13
2006,Drought,9
2006,Earthquake,24
2006,Epidemic,54
2006,Extreme temperature ,14
2006,Flood,226
2006,Insect infestation,1
2006,Landslide,20
2006,Mass movement (dry),1
2006,Storm,76
2006,Volcanic activity,12
2006,Wildfire,9
2007,Drought,11
2007,Earthquake,21
2007,Epidemic,35
2007,Extreme temperature ,25
2007,Flood,218
2007,Landslide,10
2007,Storm,105
2007,Volcanic activity,6
2007,Wildfire,18
2008,Drought,16
2008,Earthquake,23
2008,Epidemic,42
2008,Extreme temperature ,16
2008,Flood,165
2008,Landslide,12
2008,Mass movement (dry),3
2008,Storm,111
2008,Volcanic activity,7
2008,Wildfire,5
2009,Drought,18
2009,Earthquake,22
2009,Epidemic,44
2009,Extreme temperature ,20
2009,Flood,151
2009,Insect infestation,1
2009,Landslide,29
2009,Mass movement (dry),1
2009,Storm,87
2009,Volcanic activity,2
2009,Wildfire,9
2010,Drought,21
2010,Earthquake,24
2010,Epidemic,44
2010,Extreme temperature ,28
2010,Flood,184
2010,Insect infestation,1
2010,Landslide,32
2010,Storm,94
2010,Volcanic activity,6
2010,Wildfire,7
2011,Drought,16
2011,Earthquake,30
2011,Epidemic,24
2011,Extreme temperature ,16
2011,Flood,156
2011,Landslide,17
2011,Storm,84
2011,Volcanic activity,6
2011,Wildfire,8
2012,Drought,18
2012,Earthquake,27
2012,Epidemic,25
2012,Extreme temperature ,52
2012,Flood,136
2012,Landslide,13
2012,Mass movement (dry),1
2012,Storm,91
2012,Volcanic activity,1
2012,Wildfire,6
2013,Drought,9
2013,Earthquake,29
2013,Epidemic,23
2013,Extreme temperature ,13
2013,Flood,148
2013,Impact,1
2013,Landslide,11
2013,Mass movement (dry),1
2013,Storm,105
2013,Volcanic activity,3
2013,Wildfire,10
2014,Animal accident,1
2014,Drought,20
2014,Earthquake,26
2014,Epidemic,23
2014,Extreme temperature ,17
2014,Flood,137
2014,Landslide,15
2014,Storm,99
2014,Volcanic activity,6
2014,Wildfire,4
2015,Drought,27
2015,Earthquake,23
2015,Epidemic,14
2015,Extreme temperature ,12
2015,Flood,161
2015,Landslide,20
2015,Mass movement (dry),1
2015,Storm,121
2015,Volcanic activity,6
2015,Wildfire,13
2016,Drought,14
2016,Earthquake,30
2016,Epidemic,25
2016,Extreme temperature ,12
2016,Flood,160
2016,Landslide,13
2016,Storm,86
2016,Wildfire,10
2017,Drought,12
2017,Earthquake,22
2017,Epidemic,27
2017,Extreme temperature ,10
2017,Flood,127
2017,Landslide,25
2017,Mass movement (dry),1
2017,Storm,130
2017,Volcanic activity,2
2017,Wildfire,15
2018,Drought,17
2018,Earthquake,20
2018,Epidemic,16
2018,Extreme temperature ,27
2018,Flood,128
2018,Landslide,13
2018,Mass movement (dry),1
2018,Storm,97
2018,Volcanic activity,9
2018,Wildfire,10
2019,Drought,15
2019,Earthquake,32
2019,Epidemic,36
2019,Extreme temperature ,21
2019,Flood,196
2019,Insect infestation,8
2019,Landslide,25
2019,Storm,91
2019,Volcanic activity,4
2019,Wildfire,14
2020,Drought,9
2020,Earthquake,16
2020,Epidemic,6
2020,Extreme temperature ,5
2020,Flood,201
2020,Insect infestation,2
2020,Landslide,19
2020,Storm,128
2020,Volcanic activity,4
2020,Wildfire,8
2021,Drought,10
2021,Earthquake,19
2021,Epidemic,5
2021,Extreme temperature ,2
2021,Flood,160
2021,Glacial lake outburst,2
2021,Landslide,10
2021,Storm,83
2021,Volcanic activity,8
2021,Wildfire,16
